笔记ID,笔记标题,发布时间,文字内容,内容分类,赞数,评论数,收藏数,分享数,总互动,变现额(元),变现方式,制作成本(小时)
note_0001,关于电音文化的63个思考,2023-07-30,这是一篇关于电音文化的分享内容...,电音文化,57,9,18,0,84,0,无,1.0
note_0002,关于生活分享的61个思考,2023-12-03,这是一篇关于生活分享的分享内容...,生活分享,805,61,358,55,1279,0,无,1.4
note_0003,关于投资思维的79个思考,2023-10-23,这是一篇关于投资思维的分享内容...,投资思维,1480,280,555,95,2410,2806,课程,4.5
note_0004,关于AI讨论的88个思考,2023-04-19,这是一篇关于AI讨论的分享内容...,AI讨论,727,37,293,36,1093,1837,课程,2.2
note_0005,关于生活分享的62个思考,2023-12-06,这是一篇关于生活分享的分享内容...,生活分享,1372,262,594,132,2360,0,无,0.8
note_0006,关于AI讨论的40个思考,2023-06-19,这是一篇关于AI讨论的分享内容...,AI讨论,2552,469,867,47,3935,1912,课程,4.6
note_0007,关于电音文化的42个思考,2023-04-26,这是一篇关于电音文化的分享内容...,电音文化,2372,369,875,237,3853,0,无,0.7
note_0008,关于电音文化的70个思考,2023-02-20,这是一篇关于电音文化的分享内容...,电音文化,2008,384,550,110,3052,0,无,1.6
note_0009,关于电音文化的54个思考,2023-05-23,这是一篇关于电音文化的分享内容...,电音文化,4333,596,766,426,6121,0,无,1.3
note_0010,关于生活分享的12个思考,2023-09-03,这是一篇关于生活分享的分享内容...,生活分享,2341,162,767,131,3401,0,无,1.9
note_0011,关于AI讨论的44个思考,2023-03-29,这是一篇关于AI讨论的分享内容...,AI讨论,9096,1314,3055,904,14369,1165,课程,2.5
note_0012,关于投资思维的99个思考,2023-03-06,这是一篇关于投资思维的分享内容...,投资思维,920,150,335,63,1468,2819,课程,5.8
note_0013,关于投资思维的98个思考,2023-02-03,这是一篇关于投资思维的分享内容...,投资思维,210,18,42,5,275,11812,课程,5.9
note_0014,关于投资思维的68个思考,2023-04-26,这是一篇关于投资思维的分享内容...,投资思维,5738,951,998,479,8166,7856,课程,3.6
note_0015,关于电音文化的25个思考,2023-10-07,这是一篇关于电音文化的分享内容...,电音文化,1380,135,457,68,2040,0,无,1.0
note_0016,关于投资思维的50个思考,2023-12-30,这是一篇关于投资思维的分享内容...,投资思维,7772,1530,3193,464,12959,9706,课程,3.1
note_0017,关于感情观点的77个思考,2023-10-14,这是一篇关于感情观点的分享内容...,感情观点,10958,1252,5430,770,18410,2029,课程,2.1
note_0018,关于感情观点的56个思考,2023-12-23,这是一篇关于感情观点的分享内容...,感情观点,5563,1034,2432,309,9338,4576,课程,2.9
note_0019,关于AI讨论的48个思考,2023-10-02,这是一篇关于AI讨论的分享内容...,AI讨论,8492,527,3829,631,13479,1489,课程,3.9
note_0020,关于感情观点的11个思考,2023-04-23,这是一篇关于感情观点的分享内容...,感情观点,8581,692,2351,564,12188,2508,课程,1.7
note_0021,关于生活分享的1个思考,2023-08-25,这是一篇关于生活分享的分享内容...,生活分享,3250,421,1390,64,5125,0,无,1.0
note_0022,关于电音文化的40个思考,2023-12-03,这是一篇关于电音文化的分享内容...,电音文化,2207,134,1021,202,3564,0,无,0.9
note_0023,关于生活分享的96个思考,2023-01-09,这是一篇关于生活分享的分享内容...,生活分享,2620,460,637,249,3966,0,无,2.0
note_0024,关于投资思维的4个思考,2023-05-09,这是一篇关于投资思维的分享内容...,投资思维,6607,945,781,175,8508,5948,课程,3.9
note_0025,关于电音文化的76个思考,2023-02-10,这是一篇关于电音文化的分享内容...,电音文化,4215,360,1580,302,6457,0,无,1.7
note_0026,关于电音文化的45个思考,2023-07-28,这是一篇关于电音文化的分享内容...,电音文化,778,53,262,35,1128,0,无,1.8
note_0027,关于电音文化的33个思考,2023-02-24,这是一篇关于电音文化的分享内容...,电音文化,2677,191,1162,87,4117,0,无,1.9
note_0028,关于投资思维的2个思考,2023-11-27,这是一篇关于投资思维的分享内容...,投资思维,13537,1277,4537,608,19959,8132,课程,5.9
note_0029,关于AI讨论的52个思考,2023-11-02,这是一篇关于AI讨论的分享内容...,AI讨论,148,11,60,7,226,1805,课程,4.4
note_0030,关于感情观点的56个思考,2023-07-20,这是一篇关于感情观点的分享内容...,感情观点,10911,2069,4591,412,17983,4440,课程,1.9
note_0031,关于生活分享的6个思考,2023-03-15,这是一篇关于生活分享的分享内容...,生活分享,2610,202,466,48,3326,0,无,1.6
note_0032,关于AI讨论的68个思考,2023-10-27,这是一篇关于AI讨论的分享内容...,AI讨论,3859,484,748,352,5443,1950,课程,4.4
note_0033,关于感情观点的10个思考,2023-07-08,这是一篇关于感情观点的分享内容...,感情观点,4553,396,2159,72,7180,4189,课程,2.7
note_0034,关于投资思维的75个思考,2023-09-29,这是一篇关于投资思维的分享内容...,投资思维,9870,1751,3703,928,16252,2326,课程,3.1
note_0035,关于感情观点的9个思考,2023-02-09,这是一篇关于感情观点的分享内容...,感情观点,19183,2964,9101,451,31699,405,课程,1.7
note_0036,关于AI讨论的25个思考,2023-02-06,这是一篇关于AI讨论的分享内容...,AI讨论,2779,164,393,194,3530,1311,课程,4.0
note_0037,关于投资思维的32个思考,2023-06-04,这是一篇关于投资思维的分享内容...,投资思维,7900,599,818,627,9944,12659,课程,5.1
note_0038,关于电音文化的69个思考,2023-01-26,这是一篇关于电音文化的分享内容...,电音文化,1344,255,376,28,2003,0,无,0.8
note_0039,关于投资思维的20个思考,2023-02-13,这是一篇关于投资思维的分享内容...,投资思维,12891,2451,1871,174,17387,1904,课程,3.9
note_0040,关于电音文化的61个思考,2023-10-17,这是一篇关于电音文化的分享内容...,电音文化,764,109,80,64,1017,0,无,1.6
note_0041,关于AI讨论的46个思考,2023-12-11,这是一篇关于AI讨论的分享内容...,AI讨论,8295,417,3753,359,12824,1300,课程,3.7
note_0042,关于感情观点的98个思考,2023-06-10,这是一篇关于感情观点的分享内容...,感情观点,5562,826,2600,529,9517,1626,课程,2.6
note_0043,关于AI讨论的51个思考,2023-12-26,这是一篇关于AI讨论的分享内容...,AI讨论,6821,474,803,543,8641,1306,课程,4.3
note_0044,关于投资思维的43个思考,2023-01-12,这是一篇关于投资思维的分享内容...,投资思维,12179,1826,3410,1209,18624,11701,课程,5.0
note_0045,关于电音文化的23个思考,2023-02-14,这是一篇关于电音文化的分享内容...,电音文化,3171,552,783,106,4612,0,无,0.9
note_0046,关于AI讨论的56个思考,2023-12-09,这是一篇关于AI讨论的分享内容...,AI讨论,1342,120,283,126,1871,220,课程,2.4
note_0047,关于感情观点的2个思考,2023-02-12,这是一篇关于感情观点的分享内容...,感情观点,7731,1481,2036,756,12004,2021,课程,1.1
note_0048,关于生活分享的31个思考,2023-05-01,这是一篇关于生活分享的分享内容...,生活分享,4272,510,475,210,5467,0,无,1.0
note_0049,关于感情观点的49个思考,2023-03-21,这是一篇关于感情观点的分享内容...,感情观点,5112,415,2472,360,8359,4534,课程,1.7
note_0050,关于感情观点的14个思考,2023-12-23,这是一篇关于感情观点的分享内容...,感情观点,3771,531,913,234,5449,1913,课程,2.5
